customerID,phoneNumber,age,gender,planType,tenure,numDeviceOwned,numOfCalls,totalCallDuration,numOfSMS,dataUsage,prevMonthlyFee,totalFee,countOverduePayment,countBarSuspend,creditScore,applicationResult
59-5224011,950 598 5256,20,Female,Prepaid,34,1,134,24302.41,87,99.51,68.76,2199.16,,1,100,1
68-1741250,579 706 6801,28,Male,Postpaid,34,1,94,448.47,119,99.49,86.09,3185.15,,,99,1
60-2502078,688 821 3592,23,Male,Postpaid,34,1,105,12783.07,79,141.85,35.32,832.06,,,52,1
31-4326243,148 117 0194,30,Male,Prepaid,34,1,155,4064.32,31,130.07,71.46,863.89,2,,72,1
54-3634956,246 498 6439,33,Female,Postpaid,34,1,18,10815.01,173,147.44,32.67,1865.02,2,,79,1
53-4914958,214 607 0673,45,Female,Postpaid,34,1,161,25552.83,145,194.46,53.17,2216.92,1,,96,1
39-9098146,794 774 1328,45,Female,Postpaid,34,1,90,24808.41,181,105.79,72.17,2248.19,,,62,1
87-0585069,330 857 8208,36,Female,Postpaid,34,1,171,13314.08,86,76.99,43.33,1576.95,1,,56,1
24-6012061,265 618 8506,39,Female,Prepaid,34,1,198,15290.46,168,90.24,43.29,877.28,2,1,81,1
00-4293887,202 533 4005,19,Male,Postpaid,34,1,95,27602.97,133,147.05,102.67,2976.28,,,65,1
60-3588477,664 814 5875,42,Female,Prepaid,34,1,66,1593.03,24,75.87,95.24,1689.53,,,82,1
71-2082735,782 952 4472,44,Male,Prepaid,34,1,43,12683.3,16,30.18,102.77,3062.73,2,,59,1
34-0723661,134 571 5412,31,Female,Postpaid,34,1,2,6720.33,25,121.02,86.13,1445.76,,,84,1
10-0661925,969 379 4751,43,Male,Prepaid,35,1,153,20668.62,187,88.48,62.59,2668.6,2,1,64,1
90-1295950,588 830 5041,22,Female,Postpaid,35,1,146,4232.93,172,186.34,85.84,1056.21,1,1,87,1
93-0205024,417 606 3389,19,Female,Prepaid,35,1,105,1576.03,79,107.25,31.27,1965.98,2,1,56,1
17-2912883,511 366 4325,22,Male,Prepaid,35,1,79,1422.26,83,120.46,31.33,203.09,,,64,1
76-6554020,796 842 7484,25,Female,Postpaid,35,1,85,13347.94,173,23.95,103.87,2048.85,1,,65,1
96-3215537,596 749 2219,29,Female,Prepaid,35,1,97,19658.91,115,8.53,103.48,2309.55,,,70,1
34-7786703,944 211 6170,23,Female,Postpaid,35,1,92,10884.91,91,60.73,31.43,2002.35,1,,70,1
85-2801305,231 633 3909,37,Male,Postpaid,36,1,194,7811.88,61,152.09,92.34,2401.89,1,,69,1
74-0547279,753 762 8337,41,Male,Prepaid,36,1,31,1032.38,89,132.26,75.59,206.34,1,,64,1
63-8235504,516 135 3384,34,Female,Prepaid,36,1,190,22125.53,97,155.86,103.78,1340.91,1,,67,1
88-2762138,820 776 5243,31,Male,Postpaid,36,1,91,28473.82,28,152.44,73.18,3069.46,2,1,66,1
67-8883058,693 625 0036,38,Male,Prepaid,36,1,40,21313.95,180,121.69,107.73,332.87,1,,77,1
51-9343505,173 238 6169,37,Male,Prepaid,36,1,75,15074.55,185,116.14,40.58,1625.01,1,,67,1
51-3802556,474 114 7743,44,Female,Postpaid,36,1,110,24029.54,183,17.43,64.3,2070.98,1,,63,1
37-2220485,492 272 7235,45,Female,Postpaid,37,1,2,19425.45,77,157.48,42.86,2024.8,,1,63,1
50-9794154,252 533 2738,33,Male,Postpaid,37,1,44,17313.54,184,113.37,61.08,2441.36,1,1,59,1
51-3374043,250 961 4038,22,Male,Postpaid,37,1,107,22330.42,52,82.33,66.24,49.25,2,,67,1
10-6953905,372 866 7415,26,Female,Postpaid,37,1,36,11859.02,64,23.31,107.78,3317.14,1,1,55,1
90-4234836,905 515 6564,35,Male,Postpaid,37,1,54,27487.49,15,131.86,101.73,2808.09,,1,56,1
50-7611684,475 910 3758,43,Female,Postpaid,37,1,80,3239,1,79.8,75.18,63.68,,,57,1
23-0921102,106 182 5307,18,Female,Prepaid,38,1,148,7274.64,88,190.53,93.34,2658.54,,1,81,1
24-5423865,392 977 7310,35,Female,Postpaid,38,1,62,23655.27,67,17.1,95.42,1654.44,1,1,51,1
94-2222858,485 746 7367,32,Male,Postpaid,38,1,107,4449.06,178,140.45,88.47,1568.63,,,66,1
71-5221594,920 306 4572,26,Female,Postpaid,38,1,162,26090.36,144,174.15,81.36,2838.37,1,,66,1
36-0895259,905 454 9546,19,Female,Postpaid,38,1,56,14942.16,32,11.97,50.31,3391.74,,,55,1
73-2846425,446 435 5376,30,Female,Postpaid,39,1,168,13093.22,179,27.01,106.88,2229.69,1,,72,1
36-7890346,915 247 8962,26,Male,Postpaid,39,1,69,12448.25,171,145.54,100.4,2750.76,,1,85,1
81-7521250,107 858 5625,29,Male,Prepaid,40,1,54,15351.81,46,37.89,38.76,1892.29,,1,93,1
54-3986768,720 892 6742,29,Female,Postpaid,40,1,95,14738.09,16,39.33,64.45,1152.03,1,,66,1
61-7018415,172 114 5064,29,Male,Postpaid,40,1,168,14210.5,114,8.47,51.96,1880.24,1,,54,1
97-6174807,998 710 5800,39,Male,Postpaid,41,1,2,5429.75,134,60.51,38.66,2826.95,,,74,1
91-9969517,479 642 9630,30,Female,Postpaid,41,1,120,28510.57,97,175.65,98,3123.34,1,,68,1
13-8954932,711 974 5694,32,Female,Postpaid,41,1,56,11227.45,115,110.5,47.11,109.82,1,1,64,1
10-2398915,927 401 3265,31,Male,Postpaid,41,1,98,4134.48,53,102.9,109.75,2672.54,1,,56,1
80-3564790,166 974 7629,32,Male,Postpaid,42,1,147,21812.79,127,89.86,40.06,1540.4,,,57,1
02-2268663,728 578 4501,44,Female,Postpaid,42,1,94,4938.27,168,95.06,107.56,3410.49,,,70,1
49-4870713,487 601 0218,28,Male,Postpaid,42,1,54,24628.84,115,189.58,96.8,2133.86,,1,53,1
67-9720045,963 964 5222,31,Male,Postpaid,42,1,88,26352.48,200,193.29,64.56,3523.33,2,,89,1
73-1532290,619 516 3273,19,Female,Postpaid,42,1,59,18446.45,50,119.98,85.12,3480.71,1,,55,1
64-8820564,637 926 3787,22,Male,Postpaid,43,1,24,11285.97,161,82.07,82.81,2245.29,1,,77,1
28-6282751,596 223 2123,31,Female,Postpaid,43,1,156,21008.82,80,75.86,79.41,39.52,1,,63,1
12-9733216,948 559 9273,42,Male,Postpaid,43,1,107,161.41,133,102.17,83.54,3074.33,2,,55,1
16-6845193,823 918 4102,39,Female,Postpaid,43,1,33,25629.65,69,136.9,97.05,690.34,,,100,1
09-9460368,608 544 6423,30,Male,Postpaid,43,1,92,4747.74,8,186.22,69.44,937.65,1,1,80,1
94-4678927,981 658 4599,34,Male,Postpaid,43,1,54,19687.68,127,72.15,54.11,776.84,,,52,1
15-5689735,788 613 0518,22,Male,Postpaid,43,1,23,26420.75,50,164.29,35.57,1401.38,1,,80,1
56-2629753,968 548 7258,31,Female,Postpaid,44,1,144,6584.44,136,149.63,77.14,3254.29,1,,98,1
39-2291676,917 401 6201,22,Male,Postpaid,44,1,188,25727.64,144,81.88,63.78,3593.11,1,,53,1
93-2820872,920 308 9957,28,Male,Prepaid,45,1,137,15251.18,143,158.56,52.15,1437.22,2,1,54,1
47-3244548,726 691 4853,41,Female,Postpaid,45,1,142,17559.76,197,137.85,86.38,2738.83,2,,51,1
19-3365441,692 940 7922,38,Male,Postpaid,45,1,61,19727.21,177,48.25,69.45,2276.2,1,,69,1
55-7351052,928 488 5214,37,Female,Prepaid,45,1,148,18503.18,186,146.44,34.04,2328.35,1,,77,1
14-8776132,171 568 1547,18,Female,Postpaid,45,1,39,28974.41,85,180.35,62.9,1712.17,1,,52,1
97-4574582,813 378 7600,44,Female,Postpaid,45,1,198,829.43,198,93.54,90.52,1172.92,,,98,1
05-6624485,326 524 5737,20,Female,Prepaid,45,1,45,5829.29,129,189.24,45.68,3084.65,1,,96,1
93-7166412,432 446 1421,19,Male,Postpaid,46,1,175,4626.9,46,153.48,51.85,1637.84,2,,62,1
14-5603091,858 337 5217,33,Female,Prepaid,46,1,78,17789.1,93,76.15,79.1,1283.07,,,59,1
95-0638245,878 406 5874,30,Female,Postpaid,46,1,137,26604.28,184,3.62,33.63,1158.63,,,66,1
24-4676355,602 152 6330,23,Male,Postpaid,46,1,14,28592.9,82,179.89,98.78,246.99,1,1,52,1
41-5573488,385 544 8563,38,Female,Postpaid,46,1,178,27330.82,185,63.18,40.78,1778.5,1,,93,1
40-7655085,205 232 1446,20,Female,Prepaid,47,1,40,20959.87,97,85.27,43.48,698.49,,,77,1
08-0095581,407 294 8631,29,Female,Prepaid,47,1,74,475.71,182,67.26,103.21,822.71,,,90,1
83-6555741,372 969 1850,41,Male,Postpaid,47,1,181,27429.73,163,158.6,72.39,2673.24,2,,58,1
91-8291190,614 812 1824,34,Female,Prepaid,47,1,98,3824.91,132,43.33,93.97,2233.23,1,,77,1
93-0449809,634 310 7419,28,Male,Postpaid,47,1,98,29534.43,173,57.96,90,2510.42,1,1,52,1
62-0157005,432 937 1238,37,Male,Postpaid,47,1,117,18384.29,161,67.92,32.7,1392.85,1,,75,1
71-3652530,399 490 9945,25,Male,Postpaid,48,1,143,12843.35,128,61.32,34.29,886.59,1,,64,1
21-1516633,592 158 5553,23,Female,Postpaid,48,1,193,19717.16,154,184.29,73.83,734.45,,1,72,1
76-2796206,185 302 7944,31,Female,Postpaid,48,1,134,14694.66,27,55.78,71.36,51.58,,,77,1
31-7423682,623 135 3550,24,Female,Prepaid,48,1,88,15471.48,166,141.91,85.57,2954.13,2,,56,1
75-7857898,645 703 4269,29,Male,Postpaid,48,1,121,20321.54,184,141.35,33.66,959.69,,1,71,1
24-4735358,862 710 2392,36,Female,Postpaid,48,1,159,3270.03,35,198.72,95.95,3352.39,1,,70,1
29-9835378,523 977 3977,45,Female,Prepaid,49,1,51,12943.77,108,177.56,37.62,63.18,2,1,71,1
87-9756590,179 625 8652,45,Male,Postpaid,49,1,94,8377.76,143,17.38,108.76,3412.94,1,,65,1
47-7009597,659 658 4389,32,Female,Postpaid,49,1,59,7734.89,57,117.07,50.01,2548.18,1,1,61,1
98-6104631,389 154 2245,42,Male,Postpaid,49,1,73,7384.79,180,161.51,84.71,3502.39,2,1,75,1
03-1997582,809 524 8189,19,Female,Prepaid,49,1,176,13396.52,68,61.58,49.56,1077.44,1,,73,1
08-4661049,287 213 4215,19,Female,Postpaid,50,1,160,17421.43,101,127.57,73.01,1451.88,1,,59,1
36-1498422,935 692 9980,42,Female,Postpaid,50,1,178,28618.46,9,173.04,68.65,3470.37,2,,100,1
95-5297624,259 364 0075,21,Female,Postpaid,51,1,152,4303.13,167,136.1,61.52,2327.83,1,,54,1
32-9867113,993 759 7715,36,Female,Prepaid,51,1,148,19741.67,127,137.09,41.17,2928.88,,,80,1
09-8256611,783 311 7136,26,Female,Postpaid,51,1,141,4111.15,155,153.62,43.62,2972.01,1,,54,1
46-8240818,183 444 5633,32,Male,Postpaid,51,1,69,27078.48,95,49.49,72.07,3162.44,,,96,1
29-6412120,499 741 5975,28,Female,Postpaid,51,1,4,26397.01,29,141.65,66.7,1274.39,,,84,1
60-4111304,661 133 6851,30,Male,Postpaid,51,1,128,5986.05,68,122.4,71.15,1621.84,2,,58,1
58-6387136,687 564 9502,24,Male,Postpaid,51,1,66,22225.31,99,116.02,90.85,2841.45,,1,61,1
34-9999595,972 383 5977,21,Male,Postpaid,52,1,27,28907.11,108,63.79,30.92,1677.65,1,,67,1
59-2844889,469 141 8375,20,Male,Prepaid,52,1,71,5256.32,89,172.66,84.49,1753.99,1,,72,1
07-9538995,557 428 4364,43,Female,Prepaid,52,1,152,24500.07,106,38.51,63.69,343.44,1,,67,1
91-6508492,738 936 4861,24,Male,Postpaid,52,1,119,21558.77,36,151.94,65.44,3370.47,,1,58,1
77-3825247,150 899 4888,37,Female,Postpaid,52,1,75,3466.99,141,15.89,63.06,3043.59,1,,74,1
53-4646072,689 785 4270,28,Female,Postpaid,52,1,128,9449.89,48,7.38,50.61,1070.64,1,,85,1
73-8565126,421 264 3749,31,Female,Postpaid,53,1,16,29258.57,105,67.75,91.26,1091.93,2,1,77,1
38-5895068,593 752 1408,35,Female,Postpaid,53,1,113,16846.58,138,18.17,108.03,2975.44,1,1,57,1
70-5269522,451 482 3597,31,Male,Postpaid,53,1,61,22179.77,118,127.78,33,216.67,1,,77,1
29-3474242,412 613 1012,32,Male,Prepaid,53,1,180,2833.25,75,130.06,82.45,1427.23,,,92,1
47-2523698,986 310 4174,27,Female,Prepaid,53,1,86,1315.41,136,165.79,88.23,1587.1,1,1,55,1
53-6749767,910 133 0552,39,Male,Prepaid,53,1,140,20664.84,139,128.48,85.53,2819.05,1,,60,1
12-9312533,534 895 5247,31,Male,Prepaid,54,1,45,19269.98,125,1.78,66.1,1426.77,1,,77,1
97-5085669,632 497 7817,34,Female,Postpaid,54,1,12,22630.07,33,198.96,91.59,3155.96,1,1,71,1
56-6296046,195 495 2159,18,Female,Postpaid,54,1,131,25168.73,117,155.66,81.44,897.73,,1,56,1
74-9453656,264 276 2794,23,Male,Postpaid,55,1,67,19178.5,1,148.55,86.92,187.77,,,76,1
35-3779544,435 831 1994,34,Male,Prepaid,55,1,58,11675.7,87,7.13,99.76,2294.39,1,,63,1
71-4635962,633 343 8977,26,Male,Postpaid,55,1,17,21151.41,141,61.58,63.1,1977.11,1,,66,1
62-3673886,779 679 5140,18,Female,Postpaid,55,1,52,9080.13,108,57.35,50.54,1852.07,1,1,81,1
66-6051495,718 461 5953,35,Female,Prepaid,55,1,156,3071.72,42,79.49,109.16,822.15,2,1,55,1
41-9414594,422 500 5132,32,Male,Postpaid,55,1,36,17410.39,136,104.16,103.15,2184.23,,,94,1
32-0175301,444 959 4538,35,Female,Postpaid,56,1,34,26996.71,100,193.27,32.84,41.47,1,,76,1
85-8304782,769 550 3500,22,Female,Prepaid,56,1,24,17457.63,106,152.31,89.16,3262.89,,,70,1
08-2373398,901 626 2367,31,Male,Postpaid,56,1,176,24120.73,76,8.92,39.15,312.65,2,1,80,1
69-2831524,972 242 3977,42,Female,Prepaid,56,1,45,5163.47,104,1.27,100.54,909.74,1,1,54,1
08-4392797,872 226 0544,19,Male,Prepaid,57,1,72,10388.11,17,62.16,99.07,2258.63,1,,62,1
47-8868183,807 338 1980,27,Male,Postpaid,57,1,35,10452.07,195,100.87,70.51,138.33,,,56,1
66-7998957,157 215 3577,23,Male,Postpaid,57,1,166,25247.39,185,35.94,40.11,1121.88,1,,75,1
95-1378298,853 893 3899,29,Male,Postpaid,57,1,152,20576.26,160,13.49,94.93,1584.51,1,,88,1
87-2696099,870 835 9789,20,Female,Postpaid,58,1,95,28662.58,85,80.16,61.82,1869.84,1,,56,1
23-2275441,314 775 0898,20,Female,Prepaid,58,1,169,8442.54,134,22.63,72.49,2915.98,,,70,1
56-1633586,375 182 6703,38,Female,Postpaid,58,1,5,1102.87,97,124.48,84.46,2801.78,,1,55,1
62-9258656,814 926 5903,36,Female,Postpaid,59,1,111,22112.3,106,78.74,35.11,2627.2,2,,55,1
38-0258779,106 960 3882,42,Female,Postpaid,59,1,35,4551.73,198,137.31,58.8,1504.37,,1,74,1
14-4877345,442 618 1127,34,Male,Postpaid,59,1,96,20297.16,199,47.51,67.19,2000.48,,,66,1
67-3535534,645 962 8191,41,Male,Postpaid,59,1,149,24627.92,27,63.9,77.93,819.4,1,1,53,1
95-9501699,456 730 6320,23,Male,Postpaid,59,1,8,4895.55,49,30.73,40.37,1735.83,,1,54,1
79-8681459,893 276 3784,37,Female,Prepaid,60,1,168,22956.86,123,87.78,44.55,3288.3,1,,52,1
18-5127802,276 678 1266,26,Female,Postpaid,60,1,193,24843.99,60,140.61,68.13,2636.35,2,,79,1
81-1511105,653 253 9869,30,Female,Prepaid,60,1,24,21735.15,143,36.42,45.33,1071.23,1,,67,1
76-1578014,940 398 0357,44,Male,Prepaid,60,1,9,8956.66,143,10.5,64.84,2768.8,,1,51,1
48-5217136,632 814 9718,27,Female,Postpaid,60,1,99,17745.91,61,131.44,94.39,2390.58,,1,67,1
81-8311064,621 574 5151,19,Female,Postpaid,61,1,102,26862.49,189,112.03,38.42,2497.47,1,1,57,1
33-1159135,316 814 5655,33,Male,Postpaid,61,1,37,2158.18,194,147.22,31.35,1890.32,,1,75,1
38-2464676,236 726 4587,37,Female,Postpaid,61,1,60,822.43,114,172.4,107.72,767.62,,1,71,1
03-8242342,997 727 6464,43,Female,Postpaid,61,1,147,12327.64,102,100.33,35.04,3556.63,2,,60,1
74-2842933,146 504 9414,28,Female,Prepaid,62,1,174,13816.36,84,27.79,71.28,2911.81,,,58,1
84-6778791,773 506 6743,26,Female,Prepaid,62,1,23,17270.34,25,137.5,101.34,3060.8,1,,61,1
97-4636644,641 824 5083,26,Female,Postpaid,62,1,58,24548.79,196,7.27,75.58,2103.57,1,1,66,1
06-4981054,644 166 1233,31,Female,Postpaid,62,1,13,7675.2,3,54.64,69,744.09,1,,56,1
05-6454599,129 212 3542,41,Female,Postpaid,62,1,147,26449.71,6,27.07,88.17,726.59,,1,61,1
33-8092834,992 216 0088,28,Male,Prepaid,62,1,90,4218.23,99,188.08,39.49,1232.39,1,,90,1
34-6520918,498 235 4345,33,Male,Prepaid,62,1,148,8854.41,173,78.47,34.27,3413.28,1,,54,1
59-3416114,109 698 4232,29,Male,Postpaid,63,1,88,692.65,188,142.46,56.9,704.9,2,,82,1
94-5730706,996 821 3908,39,Female,Postpaid,63,1,28,7394.35,159,149.22,93.51,1816.37,,,51,1
25-6967155,219 817 4010,34,Male,Postpaid,63,1,172,15933.13,115,185.15,67.31,315.57,2,1,97,1
45-9367076,484 556 3608,42,Female,Prepaid,63,1,10,18967.89,120,90.81,58.96,638.04,,,51,1
31-7753887,825 555 7401,20,Male,Postpaid,63,1,39,6398.62,11,29.09,88.43,3026.48,2,,82,1
08-0582958,591 350 1386,42,Male,Postpaid,63,1,95,10137.05,99,18.63,34.2,943.28,1,1,63,1
81-5860171,144 217 7294,28,Female,Prepaid,63,1,79,5174.36,149,173.91,81.2,2227.8,1,,66,1
78-9982681,845 502 1834,31,Male,Postpaid,64,1,143,20703.8,60,44.13,51.08,3089.14,2,1,83,1
66-6406423,503 476 1455,43,Male,Postpaid,64,1,151,21576.34,18,188.88,99.79,2448.99,1,,100,1
59-0855527,797 882 5984,27,Female,Postpaid,64,1,155,23413.54,49,157.55,78.99,1186.25,1,,87,1
83-6210688,148 689 8265,38,Female,Postpaid,64,1,77,1908.97,112,147.03,85.19,2345.89,,,77,1
70-7890572,286 768 7317,35,Female,Postpaid,65,1,115,7911.88,60,78.73,71.33,362.6,2,,55,1
10-4453802,872 418 7374,21,Male,Postpaid,65,1,32,27864.59,31,75.84,65.85,1741.42,1,,59,1
09-4363361,931 439 6622,25,Female,Postpaid,65,1,58,26559.36,131,57.38,58.23,3465.08,1,1,78,1
54-1279771,281 613 0496,36,Male,Postpaid,65,1,91,28792.5,145,95.74,57.3,2868.96,1,,55,1
16-7769470,166 702 3556,24,Female,Prepaid,65,1,160,363.24,169,62.99,31.1,944.62,,,58,1
88-0294903,289 126 0997,23,Female,Prepaid,65,1,173,8859.39,81,61.09,93.24,987.95,1,,51,1
78-3509307,168 530 5171,30,Male,Postpaid,65,1,84,3901.52,38,98.54,76.28,350.63,,,64,1
45-0314037,353 328 5761,28,Female,Postpaid,65,1,25,8921.73,77,146.07,78.49,3535,,,91,1
48-9678480,274 540 9471,23,Female,Postpaid,65,1,7,13133.28,36,120.96,58.12,3555.53,,,58,1
68-5096758,370 150 9833,20,Male,Postpaid,66,1,79,26270.93,166,4.17,32.15,3234.58,,,51,1
86-9612472,372 631 3887,44,Male,Prepaid,66,1,189,4210.11,70,102.69,94.8,2462.12,,,83,1
03-8604563,446 465 6807,36,Female,Postpaid,66,1,10,1136.36,118,110.39,57.14,3400.8,1,,66,1
97-3626545,242 522 6846,21,Female,Prepaid,66,1,136,24011.94,83,46,50.8,1915.71,2,1,56,1
73-7418202,233 122 4929,37,Male,Prepaid,66,1,102,15913.87,177,65.96,41.96,2591.1,2,,68,1
78-4571865,670 695 7407,18,Male,Postpaid,67,1,122,25337.93,145,147.35,78.16,3040.29,1,,66,1
86-9338609,562 972 2010,34,Male,Postpaid,67,1,183,15971.09,18,37.61,53.5,3153.91,1,,54,1
52-0679491,239 408 8583,43,Female,Prepaid,67,1,172,17442.53,161,19.34,77.61,2897.84,1,,63,1
67-1905571,588 598 1418,43,Female,Prepaid,67,1,48,7351.35,8,29.27,96.31,118.86,2,1,61,1
12-4364969,290 430 3811,45,Female,Postpaid,67,1,60,4573.75,187,14.92,74.97,2074.56,2,,70,1
03-9393968,931 952 8718,32,Female,Postpaid,67,1,96,29376.37,153,78.34,106.44,3294.41,,1,65,1
63-2007110,891 108 0322,25,Male,Postpaid,68,1,8,24181.92,2,130.21,96.47,2090.56,1,,61,1
61-2477884,890 257 7974,26,Male,Prepaid,68,1,73,1378.26,174,71.96,44.54,1070.45,1,,56,1
76-3005090,987 820 4533,39,Female,Prepaid,68,1,151,13836.84,54,106.68,104.35,2775.6,2,1,53,1
55-4402450,829 149 6372,24,Male,Prepaid,68,1,54,23490.09,109,159.19,90.84,1582.66,,,80,1
65-1546465,477 870 9316,39,Female,Postpaid,68,1,176,16940.13,139,135.88,105,657.96,1,,69,1
74-0007922,217 206 7441,18,Female,Postpaid,68,1,10,1592.55,194,57.15,89.75,2239.19,,,70,1
30-8577707,906 406 6961,37,Female,Postpaid,68,1,13,26043.56,27,28.5,43.53,1289.83,1,1,76,1
38-1789006,120 657 8341,24,Male,Postpaid,68,1,36,15938.08,23,9.11,58.54,852.78,1,,72,1
20-0595317,773 741 8475,42,Female,Postpaid,68,1,16,15493.34,115,90.29,91.02,1631.45,2,,51,1
26-6922077,629 724 2815,44,Male,Postpaid,68,1,105,21409.87,40,121.79,106.57,2963.37,1,,94,1
15-2190016,148 611 0657,23,Female,Postpaid,69,1,58,3416.92,92,120.24,102.06,2909.05,,1,71,1
42-4542197,617 514 1428,32,Male,Postpaid,69,1,147,25962.96,50,58.14,33.23,816.61,2,,80,1
